Group Number,Tutorial Group,Student ID,School,Name,Gender,CGPA
8,G-1,4576,EEE,Jie Zhang,Male,4.03
8,G-1,1383,CoB (NBS),Areeba Khan,Female,4.19
8,G-1,4338,SPMS,Sana Jain,Female,4.22
8,G-1,4657,SoH,Oleg Petrovich,Male,4.0
9,G-1,2776,CCEB,Siddharth Nair,Male,4.14
9,G-1,4820,CoE,Meera Singh,Female,4.22
9,G-1,945,MAE,Han Li,Female,4.1
9,G-1,5477,SoH,Vikram Desai,Male,4.09
9,G-1,2115,EEE,Anya Kumar,Female,4.03
10,G-1,809,CoB (NBS),Nisha Das,Female,4.26
10,G-1,1645,CoE,Zachary Wu,Male,3.93
10,G-1,3838,EEE,Aarti Nair,Female,4.05
10,G-1,5703,SPMS,Karen Lee,Female,4.12
10,G-1,588,MAE,Lucas Walker,Male,4.06
11,G-10,5734,MAE,Hassan Malik,Male,4.03
11,G-10,3843,EEE,Mia Zhang,Female,4.18
11,G-10,4108,MAE,Rizan Bin Ahmad,Male,4.11
11,G-10,4020,CoB (NBS),Leo Xu,Male,4.12
11,G-10,3364,MAE,Rhea Kapoor,Female,4.0
12,G-10,2631,CCDS,Kiara Lin,Female,4.06
12,G-10,516,ADM,Tao Liu,Male,4.05
12,G-10,171,CCEB,Nina Bennett,Female,4.08
12,G-10,2515,CoE,Tanya Lee,Female,4.04
12,G-10,4077,SoH,Yasir Ahmad,Male,4.52
13,G-10,223,MAE,Jaxon Hall,Male,4.12
13,G-10,1139,SPMS,Nurul Aini Binti Ahmad,Female,4.2
13,G-10,2581,ASE,Alyssa Green,Female,3.94
13,G-10,5624,EEE,Cheng Zhang,Male,4.11
13,G-10,3189,CCEB,Rhea Lee,Female,4.07
14,G-10,403,SoH,Hae-Jin Lee,Female,4.52
14,G-10,2255,CoE,Xander Cook,Male,4.1
14,G-10,3499,CCDS,Kira Yamada,Female,4.26
14,G-10,298,MAE,Freya Chen,Female,4.09
14,G-10,5695,WKW SCI,Rhys Tan,Male,4.06
15,G-10,3051,LKCMedicine,Hunter Wilson,Male,4.06
15,G-10,5121,MSE,Ximena Fernandez,Female,4.12
15,G-10,16,EEE,Tatum Flores,Female,4.2
15,G-10,4308,MAE,Sho Nakajima,Male,4.27
15,G-10,2857,SoH,Tianming,Female,4.2
16,G-10,3963,SSS,Yasmine Villanueva,Female,4.02
16,G-10,3329,MAE,Adrian Castillo,Male,4.07
16,G-10,3794,CoB (NBS),Christopher Miller,Male,4.17
16,G-10,435,WKW SCI,Kiran Farooq,Female,4.15
16,G-10,3903,CoE,Xiao Chen,Male,3.86
17,G-10,2863,MAE,Will Chen,Male,4.23
17,G-10,4588,CoB (NBS),Paula Wong,Female,4.06
17,G-10,3388,EEE,Zaki Bin Ibrahim,Male,4.0
17,G-10,3732,CCDS,Liam Jones,Male,4.2
17,G-10,375,SBS,Kaya Chang,Female,4.05
18,G-10,2405,ASE,Soo-Young Kim,Female,3.88
18,G-10,611,SPMS,Hendra Mulyana,Male,4.1
18,G-10,3841,SBS,Benjamin Turner,Male,4.06
18,G-10,560,SoH,Ayesha Javed,Female,4.09
18,G-10,1468,MAE,Ming Wei,Male,4.19
19,G-10,565,SoH,Isaiah Scott,Male,4.15
19,G-10,5420,NIE,Nina Patil,Female,4.1
19,G-10,4477,SPMS,Yuzhi,Male,4.25
19,G-10,2253,EEE,Dante Wu,Male,4.18
19,G-10,594,MAE,Ananya Singh,Female,4.2
20,G-10,5856,MAE,Sophie Cheung,Female,4.2
20,G-10,3111,CEE,Marco Garcia,Male,4.04
20,G-10,2031,CCDS,Kendrick Alvarado,Male,4.18
20,G-10,5122,CCEB,Kerry Lim,Female,4.01
20,G-10,3395,CoB (NBS),Michael Miller,Male,3.95
21,G-100,701,CoB (NBS),Ameer Bin Rahman,Male,4.2
21,G-100,1176,CCDS,Mia Hall,Female,3.95
21,G-100,1683,SSS,Diya Nair,Female,4.11
21,G-100,356,CoE,Yasir Qureshi,Male,4.08
21,G-100,2332,CoB (NBS),Maya Ong,Female,4.14
22,G-100,2468,EEE,Bella Perry,Female,3.9
22,G-100,5945,CoB (NBS),Fergus Mendoza,Male,4.11
22,G-100,2698,CCDS,Owen Hill,Male,4.03
22,G-100,2097,CoB (NBS),Siti Maryam,Female,4.03
22,G-100,424,CEE,Ashok Nair,Male,4.52
23,G-100,5791,EEE,Peter Choi,Male,4.19
23,G-100,5534,SSS,Neelam Bhatia,Female,4.05
23,G-100,2009,CCDS,Isabella Thomas,Female,3.9
23,G-100,2089,CoB (NBS),Han Zhang,Male,4.02
23,G-100,4061,CCEB,Naina Gupta,Female,4.2
24,G-100,1824,MAE,Yuanqing,Female,4.25
24,G-100,4888,NIE,Carter Moore,Male,4.1
24,G-100,3242,WKW SCI,Aiden Brown,Male,3.9
24,G-100,370,EEE,Mia Wong,Female,4.03
24,G-100,2040,SoH,Wesley Turner,Male,4.17
25,G-100,4043,CCDS,Adrian King,Male,4.12
25,G-100,3280,CoB (NBS),Alina Malik,Female,4.19
25,G-100,3137,LKCMedicine,Raquel Huang,Female,4.18
25,G-100,4857,EEE,Jordan Chen,Male,4.06
25,G-100,4268,CCEB,Nadia Binti Azhar,Female,4.15
26,G-100,111,SPMS,Ying Liu,Female,4.03
26,G-100,861,MSE,Hua Zhang,Male,4.17
26,G-100,4425,ASE,Carla Wang,Female,4.12
26,G-100,5800,CoB (NBS),Yumi Nishikawa,Female,4.14
26,G-100,2017,CoE,Caiyun,Male,3.91
27,G-100,731,WKW SCI,Tae-Soo Kim,Male,4.05
27,G-100,1875,SoH,Rachel Lee,Female,4.11
27,G-100,412,MAE,Seema Kapoor,Female,4.19
27,G-100,5953,SBS,Orlando Wu,Male,4.01
27,G-100,2346,EEE,Fiona Clark,Female,4.15
28,G-100,5269,MSE,Anjali Nair,Female,4.27
28,G-100,2000,NIE,Danty Susanto,Male,4.05
28,G-100,1145,CCEB,Fay Tan,Female,4.09
28,G-100,4283,ADM,Hassan Farooq,Female,4.1
28,G-100,4274,EEE,Tommy Wu,Male,4.03
29,G-100,5743,EEE,Bradley Huang,Male,4.01
29,G-100,491,CoB (NBS),Fangling,Female,4.05
29,G-100,1547,CCEB,Margaret Li,Female,4.2
29,G-100,2603,CoE,Ali Rehman,Male,4.14
29,G-100,1795,SSS,Tao Wang,Female,4.12
30,G-100,438,MAE,Iris Rivera,Female,3.95
30,G-100,4743,SPMS,Jack Foster,Male,4.05
30,G-100,347,EEE,Meera Menon,Female,3.92
30,G-100,967,SBS,Mia Phillips,Female,4.17
30,G-100,745,CEE,Khalid Rahman,Male,4.1
31,G-101,696,NIE,Wyatt Price,Male,3.95
31,G-101,1839,LKCMedicine,Kexin,Female,4.0
31,G-101,5468,CCDS,Lucas Chen,Male,4.12
31,G-101,35,SoH,Riley Lim,Male,4.48
31,G-101,5809,CoE,Hannah Smith,Female,4.11
32,G-101,2753,MAE,Zadie Harris,Female,4.52
32,G-101,410,CoB (NBS),Jin Yang Tan,Male,3.95
32,G-101,621,CCDS,Christopher Cox,Male,4.12
32,G-101,5210,CoE,Amaya Sharma,Female,4.15
32,G-101,4167,SPMS,Farhan Bin Azhar,Male,4.2
33,G-101,2349,EEE,Sandeep Rao,Male,4.14
33,G-101,4526,CCDS,Hope Chen,Female,4.04
33,G-101,3382,CoB (NBS),Madiha Ali,Female,3.9
33,G-101,437,CoE,Xiao Ming,Male,4.17
33,G-101,4045,MAE,Sofia Reddy,Female,4.09
34,G-101,4173,SBS,Evelyn Cheung,Female,4.48
34,G-101,4928,SPMS,Weijun,Male,3.85
34,G-101,757,CCEB,Savannah Torres,Female,4.2
34,G-101,746,MAE,Alani Lin,Female,4.03
34,G-101,849,SSS,Ethan Taylor,Male,4.15
35,G-101,1293,CCEB,Jasper Wang,Male,4.08
35,G-101,615,SPMS,Gia Tsai,Female,3.89
35,G-101,2337,CoB (NBS),Sophia Jones,Female,4.18
35,G-101,4346,SBS,Manish Singh,Male,4.1
35,G-101,715,ASE,Zoe King,Female,3.88
36,G-101,1346,SSS,Lola Tan,Female,4.2
36,G-101,2425,SPMS,Asher Nelson,Male,4.21
36,G-101,3546,SoH,Ying Wong,Female,3.88
36,G-101,23,CCEB,Daphne Tan,Female,4.26
36,G-101,1353,MAE,Kieran Harris,Male,3.91
37,G-101,2828,NIE,Nguyen Hoang Long,Male,4.05
37,G-101,456,MAE,Wani Binti Jalil,Female,4.0
37,G-101,5987,MAE,Owen Nugroho,Male,4.15
37,G-101,3886,ADM,Ajay Iyer,Male,4.2
37,G-101,5741,SBS,Isla Young,Female,4.17
38,G-101,5633,CCEB,Ning Li,Female,4.09
38,G-101,3088,MSE,Eli Cruz,Male,4.11
38,G-101,1545,SPMS,Carter Thompson,Male,4.03
38,G-101,762,CoE,Kate Tan,Female,4.03
38,G-101,4896,EEE,Jaxon Lewis,Male,4.12
39,G-101,5461,CoB (NBS),Suraj Mishra,Male,4.08
39,G-101,2852,NIE,Shayla Wang,Female,4.01
39,G-101,665,SPMS,Qi Chen,Male,4.04
39,G-101,2986,CCDS,Rishi Tan,Male,4.08
39,G-101,5191,CCEB,Khayla Rahayu,Female,4.15
40,G-101,5291,CoB (NBS),Rachel Choi,Female,4.12
40,G-101,3593,MAE,Minghao,Male,4.15
40,G-101,5015,ASE,Fatima Bhatia,Female,4.19
40,G-101,1235,CCDS,Nguyen Thi Binh,Female,4.21
40,G-101,4393,EEE,Kevin Brown,Male,4.18
41,G-102,3820,SSS,Felix Wong,Male,4.14
41,G-102,4379,MAE,Zoe Martinez,Female,4.21
41,G-102,956,SBS,Raj Tan,Male,4.17
41,G-102,2221,EEE,Levi Huang,Male,4.04
41,G-102,448,SSS,Margarita Sokolova,Female,4.03
42,G-102,5690,CCEB,Maharani Sari,Female,4.3
42,G-102,2376,MSE,Hao Yang Tan,Male,4.3
42,G-102,2192,SPMS,Liu Fang,Female,4.03
42,G-102,828,SSS,Sakshi Singh,Female,4.14
42,G-102,4386,WKW SCI,Riku Takeda,Male,4.01
43,G-102,5888,CEE,Bradley Yang,Male,4.09
43,G-102,3717,EEE,Nafisa Ali,Female,3.95
43,G-102,714,CoB (NBS),Nisha Gupta,Female,4.21
43,G-102,4404,MAE,Omar Farooq,Male,4.2
43,G-102,3043,CoE,Maya Sari,Female,4.15
44,G-102,1634,CCDS,Sofia Hernandez,Female,4.26
44,G-102,2403,MAE,Henry Tan,Male,4.12
44,G-102,5023,LKCMedicine,Svetlana Chernyshova,Female,4.06
44,G-102,2595,CoE,Fariha Noor,Female,4.14
44,G-102,3439,SBS,Asher Clark,Male,4.03
45,G-102,1768,SoH,Travis Lim,Male,4.0
45,G-102,39,EEE,Lyric Tan,Female,4.04
45,G-102,5147,SoH,Min-Ji Park,Female,4.03
45,G-102,2373,NIE,Elisha Wu,Male,4.23
45,G-102,3909,CCEB,Zara Lim,Female,4.1
46,G-102,3168,MAE,Sakshi Iyer,Female,3.94
46,G-102,783,CCDS,Ajay Bhatt,Male,4.22
46,G-102,3413,SSS,Kiran Shah,Female,4.12
46,G-102,3592,EEE,Alina Awan,Female,4.1
46,G-102,1688,MSE,Pranata Santoso,Male,3.95
47,G-102,818,SSS,Hansel Bautista,Male,4.06
47,G-102,613,SBS,Nina Phillips,Female,4.11
47,G-102,5447,CCDS,Lan Nguyen,Female,4.15
47,G-102,2315,SPMS,Cheng Fang Tan,Male,4.05
47,G-102,3957,CEE,Megan Walker,Female,4.06
48,G-102,337,CoB (NBS),Kanwal Bukhari,Female,4.16
48,G-102,2246,SoH,Luca Torres,Male,4.12
48,G-102,5928,SSS,Anjali Kumar,Female,3.95
48,G-102,4862,CCDS,Melati Ahmad,Female,3.88
48,G-102,5913,MAE,Ulysses Salazar,Male,4.2
49,G-102,2013,NIE,Wyatt Thompson,Male,4.09
49,G-102,2079,CoB (NBS),Gina Lau,Female,4.15
49,G-102,103,CoE,Maximus Wright,Male,4.05
49,G-102,3692,EEE,Harsh Kumar,Male,4.05
49,G-102,2720,WKW SCI,Nira Gupta,Female,4.12
50,G-102,902,MSE,Layla Cooper,Female,4.03
50,G-102,1362,MAE,Yong Hui,Male,4.21
50,G-102,5144,CCEB,Aria Murphy,Female,4.2
50,G-102,2560,SBS,Simran Singh,Female,4.03
50,G-102,5578,CCDS,Minh Tran,Male,4.03
51,G-103,1553,EEE,Isaac Thompson,Male,4.03
51,G-103,1202,SSS,Maya Gonzales,Female,4.22
51,G-103,2559,CEE,Everett Harris,Male,4.14
51,G-103,4678,SPMS,Irfan Bin Hassan,Male,4.0
51,G-103,3251,EEE,Emily Scott,Female,4.07
52,G-103,3554,CCDS,Asha Mehta,Female,4.52
52,G-103,18,CEE,Alan Chan,Male,4.0
52,G-103,835,SoH,Maya Wilson,Female,4.13
52,G-103,5627,SSS,Anjali Singh,Female,4.16
52,G-103,4809,EEE,Vikram Singh,Male,4.13
53,G-103,4181,CoB (NBS),Simon Lee,Male,4.02
53,G-103,40,LKCMedicine,Shiloh Lin,Female,4.05
53,G-103,1847,CoE,Talha Iqbal,Male,4.11
53,G-103,2099,CCDS,Fahim Hussein,Male,4.03
53,G-103,4837,SBS,Yuna Wong,Female,4.07
54,G-103,2302,CEE,Yvonne Ng,Female,3.8
54,G-103,2679,SSS,Khalil Bin Ismail,Male,4.09
54,G-103,4051,MAE,Fatima Malik,Female,4.18
54,G-103,4821,CoB (NBS),Samantha Khan,Female,4.19
54,G-103,1879,MSE,Naim Bin Hashim,Male,4.2
55,G-103,1787,CEE,Xiao Wei Tan,Male,3.95
55,G-103,5493,CCEB,Amna Bukhari,Female,4.11
55,G-103,3497,NIE,Hikaru Sato,Male,4.14
55,G-103,2189,CoB (NBS),Zachary Lee,Male,4.11
55,G-103,4559,EEE,Sofia Kim,Female,4.17
56,G-103,4427,EEE,Willow Wong,Female,4.19
56,G-103,1618,CEE,Dallas Huang,Male,4.09
56,G-103,952,MSE,Nadia Binti Zulkifli,Female,3.87
56,G-103,4964,CCDS,Hannah Sanders,Female,4.2
56,G-103,1613,SBS,Graham Jackson,Male,3.97
57,G-103,3932,WKW SCI,Vy Nguyen,Male,4.11
57,G-103,4132,EEE,Aria Martinez,Female,4.18
57,G-103,1495,CCDS,Amira Tan,Female,4.15
57,G-103,1911,CEE,Mansoor Qureshi,Male,4.12
57,G-103,4612,MAE,Kylie Chen,Female,4.15
58,G-103,778,CoB (NBS),Selina Loh,Female,3.91
58,G-103,4616,ASE,Eli Tan,Male,3.88
58,G-103,4224,SoH,Ethan White,Male,4.11
58,G-103,5483,MAE,Camila Li,Female,4.27
58,G-103,2601,SSS,Tommy Wu,Male,4.22
59,G-103,5040,ASE,Dev Sharma,Male,4.26
59,G-103,1551,CCEB,Maggie Kwan,Female,3.91
59,G-103,344,CEE,Tyler Hall,Male,4.11
59,G-103,2165,CoE,David Young,Male,4.19
59,G-103,1292,SoH,Queenie Lee,Female,4.06
60,G-103,4842,SoH,Carmen Ong,Female,4.09
60,G-103,397,CoB (NBS),Chong Wang,Male,4.25
60,G-103,5970,SBS,Layla Fisher,Female,4.01
60,G-103,2602,CCDS,Fatima Baig,Female,4.25
60,G-103,925,MSE,Saad Malik,Male,4.05
61,G-104,2962,CoE,Jun Zhang,Male,4.19
61,G-104,3050,CCEB,Nia Wong,Female,3.95
61,G-104,4894,CCDS,Fitri Binti Mohd,Female,4.0
61,G-104,1542,WKW SCI,John Lim,Male,3.95
61,G-104,5020,NIE,Xena Reed,Female,4.11
62,G-104,5962,CoB (NBS),Madison Scott,Female,3.92
62,G-104,5596,CCDS,Jason Tan,Male,4.16
62,G-104,3937,SSS,Nisha Yadav,Female,4.18
62,G-104,1446,NIE,Dahlia Chen,Female,4.04
62,G-104,3335,EEE,William Yip,Male,4.22
63,G-104,33,ASE,Waleed Malik,Male,4.15
63,G-104,1375,CEE,Pallavi Mehta,Female,4.09
63,G-104,5905,CCDS,Emi Yamashita,Female,4.22
63,G-104,238,CCEB,Prashant Joshi,Male,4.03
63,G-104,2273,SSS,Samantha Ong,Female,4.1
64,G-104,2233,SBS,Chloe Scott,Female,3.85
64,G-104,1395,SoH,Anil Reddy,Male,4.14
64,G-104,4403,EEE,Ying Zhang,Female,4.18
64,G-104,82,SSS,Giselle Wu,Female,4.14
64,G-104,3873,CoB (NBS),Leo Pranata,Male,4.2
65,G-104,1891,MAE,Ryder Ward,Male,4.15
65,G-104,2562,SoH,Zainab Noor,Female,4.0
65,G-104,2622,EEE,Priya Roy,Female,4.11
65,G-104,5570,SPMS,Gideon Zhang,Male,4.01
65,G-104,4039,CCDS,Anita Lim,Female,4.06
66,G-104,3080,NIE,Tara Wati,Female,3.85
66,G-104,90,ASE,Chandra Menon,Male,4.03
66,G-104,2204,EEE,Anaya Singh,Female,4.0
66,G-104,1950,MAE,Lila Wu,Female,4.06
66,G-104,4349,WKW SCI,Benjamin Huang,Male,4.11
67,G-104,3268,CoB (NBS),Gideon Torres,Male,4.04
67,G-104,1649,MAE,Vera Ong,Female,4.09
67,G-104,2653,CCDS,Chloe Tan,Female,4.17
67,G-104,5540,EEE,Kamran Farooq,Male,4.01
67,G-104,2898,SSS,Nancy Yeo,Female,4.08
68,G-104,5684,SoH,Emily Johnson,Female,4.03
68,G-104,4988,CCDS,Rafael Wong,Male,4.11
68,G-104,5685,CCEB,Maya Rahman,Female,4.06
68,G-104,4187,SBS,Isha Verma,Female,4.03
68,G-104,3595,NIE,Eamon Liu,Male,4.16
69,G-104,5317,CoB (NBS),Zhen Zhang,Male,4.06
69,G-104,832,SPMS,Sarah Liu,Female,4.09
69,G-104,4001,SoH,Ashna Mehta,Female,4.06
69,G-104,759,CCDS,Daniel Adams,Male,4.05
69,G-104,5263,CoB (NBS),Lily Ong,Female,3.93
70,G-104,2556,MAE,Chloe Wu,Female,4.03
70,G-104,3665,CCDS,Shahid Ali,Male,4.11
70,G-104,1600,WKW SCI,Sophia Taylor,Female,4.06
70,G-104,2932,SSS,Gracelyn Dela Cruz,Female,3.96
70,G-104,4664,CoE,Lance Alvarado,Male,4.04
71,G-105,1529,CCDS,Devansh Mehta,Male,4.0
71,G-105,3728,MAE,Lola Zhang,Female,4.22
71,G-105,401,CoB (NBS),Haruki Suzuki,Male,4.01
71,G-105,5003,CCDS,Imran Bin Zahid,Male,4.3
71,G-105,333,CCDS,Maya Torres,Female,3.92
72,G-105,5909,SSS,Aditi Kumar,Female,4.01
72,G-105,5816,CCDS,Bennett Liu,Male,4.14
72,G-105,4758,CoB (NBS),Ping An,Female,4.1
72,G-105,5770,NIE,Qiana Lestari,Female,4.25
72,G-105,4869,SPMS,Kiran Rao,Male,4.15
73,G-105,5355,CoB (NBS),Nicolas Ramos,Male,4.14
73,G-105,4744,CCDS,Alyssa Tan,Female,4.1
73,G-105,2161,EEE,Tessa Li,Female,4.14
73,G-105,2010,CEE,Trung Le,Male,4.06
73,G-105,3970,CoB (NBS),Cora Zhang,Female,4.15
74,G-105,2728,EEE,Daphne Li,Female,4.26
74,G-105,5950,CEE,James Jackson,Male,4.09
74,G-105,2913,SoH,Kunal Mehta,Male,4.12
74,G-105,3108,SSS,Pallavi Kumar,Female,4.1
74,G-105,5797,MAE,Shahid Raza,Male,4.02
75,G-105,1007,CoB (NBS),Jonathan Wu,Male,4.09
75,G-105,1141,SSS,Mei Chen,Female,4.02
75,G-105,3415,CCDS,Tatum Roberts,Female,4.06
75,G-105,1927,MSE,Dao Tran,Male,4.15
75,G-105,5218,MAE,Julia Tan,Female,4.04
76,G-105,4510,SBS,Kylie Zhang,Female,4.04
76,G-105,1490,EEE,Amit Agarwal,Male,4.15
76,G-105,4589,CCEB,Sabrina Zhao,Female,4.11
76,G-105,28,CoB (NBS),Claudia Tan,Female,4.09
76,G-105,463,MAE,Arjun Nair,Male,3.92
77,G-105,5339,SoH,Callum Williams,Male,4.19
77,G-105,2732,SSS,Addison Lin,Female,4.02
77,G-105,500,CoB (NBS),Vincent Wong,Male,4.01
77,G-105,3668,ADM,Saad Javed,Male,4.15
77,G-105,1564,EEE,Amina Binti Zain,Female,4.15
78,G-105,4431,SBS,Chen Li,Female,4.12
78,G-105,1043,MAE,Logan Martin,Male,4.12
78,G-105,5565,ASE,Yumi Tanaka,Female,4.03
78,G-105,1803,EEE,Isabella Rodriguez,Female,3.86
78,G-105,800,CoE,Ricky Chen,Male,4.09
79,G-105,5377,CCDS,Yang Jun,Male,4.17
79,G-105,4364,MAE,Charlotte Gonzalez,Female,4.22
79,G-105,5029,WKW SCI,Olivia Miller,Female,3.87
79,G-105,1974,CEE,Ronald Tan,Male,4.05
79,G-105,4188,SSS,Sophie Reed,Female,4.23
80,G-105,3345,CCEB,Vira Dwi,Female,3.8
80,G-105,1789,NIE,Dallas Liu,Male,4.05
80,G-105,1550,CEE,Chen Bo,Male,4.17
80,G-105,951,SSS,Nisha Bansal,Female,4.15
80,G-105,2392,SoH,Max Johnson,Male,4.21
81,G-106,4732,EEE,Albert Wang,Male,4.01
81,G-106,2588,SoH,Mira Binti Zaki,Female,4.2
81,G-106,4934,CCEB,Arya Kapoor,Female,3.97
81,G-106,1730,CoB (NBS),Siddharth Gupta,Male,4.14
81,G-106,5676,EEE,Akemi Takahashi,Female,4.12
82,G-106,4387,CCEB,Kathy Tan,Female,4.05
82,G-106,4581,SPMS,Jai Mehta,Male,4.0
82,G-106,1168,NIE,Eun-Hee Kim,Female,4.14
82,G-106,4753,EEE,Zara Malik,Female,3.9
82,G-106,930,CoE,Jason Robinson,Male,4.52
83,G-106,3008,CCDS,Thomas Harris,Male,3.95
83,G-106,5885,EEE,Jun Liu,Female,3.9
83,G-106,2713,MAE,Kevin Wang,Male,4.09
83,G-106,4317,CoB (NBS),Oliver Martinez,Male,4.12
83,G-106,5657,SPMS,Charlotte Harris,Female,4.02
84,G-106,5089,MAE,Isla Lee,Female,4.15
84,G-106,4201,SPMS,Reyansh Iyer,Male,4.14
84,G-106,3001,CCDS,Piper Chen,Female,4.15
84,G-106,3583,CCEB,Aria Lee,Female,3.88
84,G-106,3054,CCEB,Om Tan,Male,4.15
85,G-106,113,MAE,Fahad Ali,Male,4.19
85,G-106,5670,SoH,Miyu Nishimura,Female,4.06
85,G-106,623,CoB (NBS),Minghao,Female,4.0
85,G-106,2147,WKW SCI,Hafiz Ahmad,Male,4.14
85,G-106,1002,CCEB,Priya Nair,Female,4.12
86,G-106,1785,MAE,Gabriella Dela Cruz,Female,4.01
86,G-106,3471,CCEB,Gandhi Saputra,Male,3.95
86,G-106,3330,SSS,Jingyi,Female,4.15
86,G-106,164,LKCMedicine,Nisha Verma,Female,4.18
86,G-106,2144,CoE,Oscar Villanueva,Male,4.19
87,G-106,3686,EEE,Cole Huang,Male,4.19
87,G-106,3654,CCDS,Aria Tan,Female,4.04
87,G-106,4783,MAE,Rahul Mehta,Male,4.08
87,G-106,5983,SPMS,Sergei Ivanovich,Male,4.0
87,G-106,5088,CCEB,Neelam Rani,Female,3.95
88,G-106,5093,MAE,Megan Zhao,Female,4.01
88,G-106,3551,EEE,Harrison Moore,Male,4.19
88,G-106,1470,CCEB,Tania Ng,Female,4.15
88,G-106,850,CCDS,Sienna Lee,Female,3.88
88,G-106,1580,WKW SCI,Nikhil Sharma,Male,4.11
89,G-106,2370,MAE,Zedrick Ong,Male,4.05
89,G-106,1415,NIE,Cleo Morales,Female,4.02
89,G-106,2385,ADM,Hoang Nguyen,Male,4.02
89,G-106,2112,SoH,Noah Morris,Male,4.11
89,G-106,1929,EEE,Kavitha Tan,Female,4.3
90,G-106,5898,CCEB,Quinn Larson,Female,4.12
90,G-106,330,EEE,Dylan Li,Male,3.9
90,G-106,1294,MAE,Nolan Reyes,Male,4.16
90,G-106,1888,CoE,Guofeng,Female,4.15
90,G-106,4438,EEE,Noel Pineda,Male,4.19
91,G-107,5335,SPMS,Qiang Zhang,Male,4.2
91,G-107,5212,EEE,Sana Menon,Female,4.22
91,G-107,89,CoE,Suresh Bhat,Female,4.14
91,G-107,2445,SPMS,Chad Dela Cruz,Male,4.02
91,G-107,2012,SSS,Charu Iyer,Female,3.92
92,G-107,1968,SBS,Yumi Hayashi,Female,3.89
92,G-107,598,MSE,Riana Binti Abdul,Female,4.25
92,G-107,895,CCEB,Saanvi Roy,Female,4.25
92,G-107,768,CoB (NBS),Kavita Singh,Female,3.89
92,G-107,180,CEE,Kai Qiang,Male,4.04
93,G-107,4572,EEE,Arjun Sinha,Male,4.09
93,G-107,2471,CCDS,Nguyen Thi Hoa,Female,3.87
93,G-107,112,CoB (NBS),Misha Malik,Female,4.14
93,G-107,3973,WKW SCI,Karan Patel,Male,4.14
93,G-107,1308,CCEB,Vera Chan,Female,4.1
94,G-107,5645,CCEB,Le Van Minh,Female,4.02
94,G-107,1979,NIE,Archer Powell,Male,4.12
94,G-107,2292,CEE,Lily Lim,Female,4.19
94,G-107,1212,CoB (NBS),Samantha Sanchez,Female,4.25
94,G-107,4716,MAE,Joko Susanto,Male,3.9
95,G-107,1463,EEE,Xiao Zhang,Male,4.02
95,G-107,992,SSS,Amara Siti,Female,4.03
95,G-107,4749,WKW SCI,Nina Zhao,Female,4.15
95,G-107,4074,CEE,Daniel Tan,Male,4.0
95,G-107,2877,CCDS,Hayden Wu,Female,4.12
96,G-107,937,ASE,Nina Binti Noor,Female,3.86
96,G-107,5804,SPMS,Liu Yang,Male,4.16
96,G-107,3344,CCDS,Lana Tan,Female,4.0
96,G-107,4621,SPMS,Amelia Lewis,Female,4.22
96,G-107,5767,EEE,Carter Hall,Male,4.14
97,G-107,5960,CEE,Yuri Grigorev,Male,4.1
97,G-107,2334,EEE,Meera Gupta,Female,4.04
